127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.005187
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000220
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000516
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/images/twitter.png, HTTP/1.1, 304, 0.000940
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/images/facebook.png, HTTP/1.1, 304, 0.000357
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/images/gplus-32.png, HTTP/1.1, 304, 0.000778
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/default/schedule, HTTP/1.1, 200, 0.034304
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/css/calendar.css, HTTP/1.1, 304, 0.000283
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000310
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000824
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000904
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/js/jquery.js, HTTP/1.1, 304, 0.001834
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000266
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/css/web2py.css, HTTP/1.1, 304, 0.003023
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000850
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/js/web2py.js, HTTP/1.1, 304, 0.000914
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000704
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/js/calendar.js, HTTP/1.1, 304, 0.000590
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/js/share.js, HTTP/1.1, 304, 0.000858
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/images/twitter.png, HTTP/1.1, 304, 0.000927
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/images/facebook.png, HTTP/1.1, 304, 0.000751
127.0.0.1, 2013-06-23 18:55:10, GET, /baystreet/static/images/gplus-32.png, HTTP/1.1, 304, 0.000351
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/default/schedule, HTTP/1.1, 200, 0.037011
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/css/calendar.css, HTTP/1.1, 304, 0.000278
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000217
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000206
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/css/web2py.css, HTTP/1.1, 304, 0.000215
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/js/jquery.js, HTTP/1.1, 304, 0.000239
